run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0001,0.5519130229949951,0.3470037579536438,1.0,0.1,0.5,0.2,1.2,0.882371345311769,,0
2021_g1.0_e0.1_l0.5,ncaf_2021_0002,0.32595333456993103,0.15587033331394196,1.0,0.1,0.5,0.2,1.2,0.5913005847934512,,1
2021_g1.0_e0.1_l0.5,ncaf_2021_0003,0.324989378452301,0.16358181834220886,1.0,0.1,0.5,0.2,1.2,0.5704774282853506,,2
2021_g1.0_e0.1_l0.5,ncaf_2021_0004,0.4244057238101959,0.20830011367797852,1.0,0.1,0.5,0.2,1.2,0.6787206960226922,,3
2021_g1.0_e0.1_l0.5,ncaf_2021_0005,0.22472086548805237,0.1100405603647232,1.0,0.1,0.5,0.2,1.2,0.4681322776173111,,4
2021_g1.0_e0.1_l0.5,ncaf_2021_0006,0.338434636592865,0.15224385261535645,1.0,0.1,0.5,0.2,1.2,0.5692287338502175,,5
2021_g1.0_e0.1_l0.5,ncaf_2021_0007,0.49871841073036194,0.12318657338619232,1.0,0.1,0.5,0.2,1.2,0.7237336587442562,,6
2021_g1.0_e0.1_l0.5,ncaf_2021_0008,0.1547994613647461,0.08239911496639252,1.0,0.1,0.5,0.2,1.2,0.4034583758686631,,7
2021_g1.0_e0.1_l0.5,ncaf_2021_0009,0.5166831016540527,0.25214534997940063,1.0,0.1,0.5,0.2,1.2,0.7699681499511263,,8
2021_g1.0_e0.1_l0.5,ncaf_2021_0010,0.7151175141334534,0.37950628995895386,1.0,0.1,0.5,0.2,1.2,1.0612386037965398,,9
2021_g1.0_e0.1_l0.5,ncaf_2021_0011,0.2610212564468384,0.10224300622940063,1.0,0.1,0.5,0.2,1.2,0.5298885854081535,,10
2021_g1.0_e0.1_l0.5,ncaf_2021_0012,0.4558534324169159,0.1743476688861847,1.0,0.1,0.5,0.2,1.2,0.6965303409675441,,11
2021_g1.0_e0.1_l0.5,ncaf_2021_0013,0.3816029131412506,0.14155273139476776,1.0,0.1,0.5,0.2,1.2,0.6290924696088201,,12
2021_g1.0_e0.1_l0.5,ncaf_2021_0014,0.4608883857727051,0.2503848075866699,1.0,0.1,0.5,0.2,1.2,0.7353701791870697,,13
2021_g1.0_e0.1_l0.5,ncaf_2021_0015,0.6984414458274841,0.34440213441848755,1.0,0.1,0.5,0.2,1.2,1.0244478914341815,,14
2021_g1.0_e0.1_l0.5,ncaf_2021_0016,0.0,0.1172005906701088,1.0,0.1,0.5,0.2,1.2,0.28306467601320584,,15
2021_g1.0_e0.1_l0.5,ncaf_2021_0017,0.4995982348918915,0.22333243489265442,1.0,0.1,0.5,0.2,1.2,0.729673176241992,,16
2021_g1.0_e0.1_l0.5,ncaf_2021_0018,0.45735442638397217,0.22632308304309845,1.0,0.1,0.5,0.2,1.2,0.7316329673367042,,17
2021_g1.0_e0.1_l0.5,ncaf_2021_0019,0.21781393885612488,0.10529576241970062,1.0,0.1,0.5,0.2,1.2,0.46501585712723426,,18
2021_g1.0_e0.1_l0.5,ncaf_2021_0020,0.41762182116508484,0.2293223887681961,1.0,0.1,0.5,0.2,1.2,0.6688362439856534,,19
2021_g1.0_e0.1_l0.5,ncaf_2021_0021,0.37971046566963196,0.15175387263298035,1.0,0.1,0.5,0.2,1.2,0.6258838391601421,,20
2021_g1.0_e0.1_l0.5,ncaf_2021_0022,0.34955865144729614,0.14014355838298798,1.0,0.1,0.5,0.2,1.2,0.5915111565159171,,21
2021_g1.0_e0.1_l0.5,ncaf_2021_0023,0.31210416555404663,0.1469663828611374,1.0,0.1,0.5,0.2,1.2,0.5541013832876366,,22
2021_g1.0_e0.1_l0.5,ncaf_2021_0024,0.20134152472019196,0.08938942849636078,1.0,0.1,0.5,0.2,1.2,0.43127559184189057,,23
2021_g1.0_e0.1_l0.5,ncaf_2021_0025,0.4974347651004791,0.21124744415283203,1.0,0.1,0.5,0.2,1.2,0.7396332368192299,,24
2021_g1.0_e0.1_l0.5,ncaf_2021_0026,0.60267573595047,0.3406803011894226,1.0,0.1,0.5,0.2,1.2,0.9237559603288614,,25
2021_g1.0_e0.1_l0.5,ncaf_2021_0027,0.49026522040367126,0.21911898255348206,1.0,0.1,0.5,0.2,1.2,0.7768794390597621,,26
2021_g1.0_e0.1_l0.5,ncaf_2021_0028,0.22876112163066864,0.11267592012882233,1.0,0.1,0.5,0.2,1.2,0.48158651965648097,,27
2021_g1.0_e0.1_l0.5,ncaf_2021_0029,0.47944962978363037,0.2875458300113678,1.0,0.1,0.5,0.2,1.2,0.7515673037686207,,28
2021_g1.0_e0.1_l0.5,ncaf_2021_0030,0.1584911048412323,0.07384345680475235,1.0,0.1,0.5,0.2,1.2,0.402690088267725,,29
2021_g1.0_e0.1_l0.5,ncaf_2021_0031,0.6411908268928528,0.3291923403739929,1.0,0.1,0.5,0.2,1.2,0.9269101185304665,,30
2021_g1.0_e0.1_l0.5,ncaf_2021_0032,0.39211493730545044,0.2308042049407959,1.0,0.1,0.5,0.2,1.2,0.6831772434749052,,31
2021_g1.0_e0.1_l0.5,ncaf_2021_0033,0.48646727204322815,0.21714553236961365,1.0,0.1,0.5,0.2,1.2,0.7527984619047766,,32
2021_g1.0_e0.1_l0.5,ncaf_2021_0034,0.5644932389259338,0.32690852880477905,1.0,0.1,0.5,0.2,1.2,0.8795143109017441,,33
2021_g1.0_e0.1_l0.5,ncaf_2021_0035,0.08994496613740921,0.0668584555387497,1.0,0.1,0.5,0.2,1.2,0.34779601880853367,,34
2021_g1.0_e0.1_l0.5,ncaf_2021_0036,0.22429345548152924,0.09528492391109467,1.0,0.1,0.5,0.2,1.2,0.4353149982306436,,35
2021_g1.0_e0.1_l0.5,ncaf_2021_0037,0.435077041387558,0.12252998352050781,1.0,0.1,0.5,0.2,1.2,0.65068406935002,,36
2021_g1.0_e0.1_l0.5,ncaf_2021_0038,0.4921213686466217,0.2376144826412201,1.0,0.1,0.5,0.2,1.2,0.7655118034703746,,37
2021_g1.0_e0.1_l0.5,ncaf_2021_0039,0.14083175361156464,0.08741989731788635,1.0,0.1,0.5,0.2,1.2,0.39156940609107177,,38
2021_g1.0_e0.1_l0.5,ncaf_2021_0040,0.09752590954303741,0.09019874036312103,1.0,0.1,0.5,0.2,1.2,0.3190587942440138,,39
2021_g1.0_e0.1_l0.5,ncaf_2021_0041,0.8522021770477295,0.5137770771980286,1.0,0.1,0.5,0.2,1.2,1.2286223701636279,,40
