run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0001,0.5519130229949951,0.3470037579536438,1.0,0.1,0.5,0.2,1.2,0.882371345311769,,0,2025-10-28T00:30:31.979239+00:00,2025-10-28T00:30:32.866761+00:00,0.887507,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0002,0.325953334569931,0.1558703333139419,1.0,0.1,0.5,0.2,1.2,0.5913005847934512,,1,2025-10-28T00:30:32.868569+00:00,2025-10-28T00:30:33.460107+00:00,0.591522,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0003,0.324989378452301,0.1635818183422088,1.0,0.1,0.5,0.2,1.2,0.5704774282853506,,2,2025-10-28T00:30:33.461998+00:00,2025-10-28T00:30:34.036465+00:00,0.574454,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0004,0.4244057238101959,0.2083001136779785,1.0,0.1,0.5,0.2,1.2,0.6787206960226922,,3,2025-10-28T00:30:34.038037+00:00,2025-10-28T00:30:34.721657+00:00,0.68361,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0005,0.2247208654880523,0.1100405603647232,1.0,0.1,0.5,0.2,1.2,0.4681322776173111,,4,2025-10-28T00:30:34.722958+00:00,2025-10-28T00:30:35.195784+00:00,0.472815,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0006,0.338434636592865,0.1522438526153564,1.0,0.1,0.5,0.2,1.2,0.5692287338502175,,5,2025-10-28T00:30:35.196914+00:00,2025-10-28T00:30:35.768265+00:00,0.571337,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0007,0.4987184107303619,0.1231865733861923,1.0,0.1,0.5,0.2,1.2,0.7237336587442562,,6,2025-10-28T00:30:35.769106+00:00,2025-10-28T00:30:36.497916+00:00,0.728795,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0008,0.1547994613647461,0.0823991149663925,1.0,0.1,0.5,0.2,1.2,0.4034583758686631,,7,2025-10-28T00:30:36.499525+00:00,2025-10-28T00:30:36.907067+00:00,0.40753,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0009,0.5166831016540527,0.2521453499794006,1.0,0.1,0.5,0.2,1.2,0.7699681499511263,,8,2025-10-28T00:30:36.909222+00:00,2025-10-28T00:30:37.684228+00:00,0.774995,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0010,0.7151175141334534,0.3795062899589538,1.0,0.1,0.5,0.2,1.2,1.0612386037965398,,9,2025-10-28T00:30:37.685285+00:00,2025-10-28T00:30:38.749450+00:00,1.064147,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0011,0.2610212564468384,0.1022430062294006,1.0,0.1,0.5,0.2,1.2,0.5298885854081535,,10,2025-10-28T00:30:38.750149+00:00,2025-10-28T00:30:39.282963+00:00,0.532804,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0012,0.4558534324169159,0.1743476688861847,1.0,0.1,0.5,0.2,1.2,0.6965303409675441,,11,2025-10-28T00:30:39.283919+00:00,2025-10-28T00:30:39.985560+00:00,0.701629,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0013,0.3816029131412506,0.1415527313947677,1.0,0.1,0.5,0.2,1.2,0.6290924696088201,,12,2025-10-28T00:30:39.986626+00:00,2025-10-28T00:30:40.617064+00:00,0.630424,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0014,0.4608883857727051,0.2503848075866699,1.0,0.1,0.5,0.2,1.2,0.7353701791870697,,13,2025-10-28T00:30:40.618607+00:00,2025-10-28T00:30:41.357388+00:00,0.738765,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0015,0.6984414458274841,0.3444021344184875,1.0,0.1,0.5,0.2,1.2,1.0244478914341817,,14,2025-10-28T00:30:41.359168+00:00,2025-10-28T00:30:42.388488+00:00,1.029305,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0016,0.0,0.1172005906701088,1.0,0.1,0.5,0.2,1.2,0.2830646760132058,,15,2025-10-28T00:30:42.389676+00:00,2025-10-28T00:30:42.674490+00:00,0.284803,opencv,w3 baseline run
